@relation ndviproxys
@attribute ELARRAS numeric
@attribute RBPP-J numeric
@attribute RLSAL-S numeric
@attribute FDR-S numeric
@attribute LL-Salta numeric
@attribute RBlan-J numeric
@attribute FLPich-S numeric
@attribute DQESC-T numeric
@attribute RHorq-Tuc numeric
@attribute NDVI numeric
@data
1377,934,1598,1415,1201,1935,940,1357,733,?
1260,1164,967,1445,1212,766,1486,2078,247,?
895,644,1242,566,2014,1324,1088,1271,526,?
845,652,1332,638,538,666,924,805,517,?
669,1086,728,832,1088,1145,843,926,404,?
1330,979,925,918,1569,1346,939,754,859,?
701,569,753,649,332,1265,659,461,848,?
282,757,729,859,1083,1804,844,238,1275,?
905,953,1200,1095,912,1955,727,301,1618,?
817,966,897,905,1670,1182,726,806,1238,?
980,972,1079,828,938,754,1183,1883,1817,?
1035,770,650,680,433,595,929,808,1724,?
993,1338,1630,555,662,258,949,984,1863,?
1353,1257,195,602,1781,254,1376,1368,1080,?
623,574,906,641,835,272,758,1158,1635,?
930,1564,587,871,632,303,913,935,1291,?
1063,1272,730,1224,751,727,516,401,1097,?
1156,1282,525,798,1245,777,985,717,1514,?
849,561,676,40,608,1272,727,269,1175,?
1627,1474,1176,981,1419,1027,1030,772,1442,?
821,781,785,1469,883,869,512,271,1418,?
1064,1101,1055,1335,676,1152,565,384,1273,?
1239,1251,1121,1197,1414,1514,1134,685,1304,?
1452,871,546,1629,866,1588,815,536,1271,?
1360,1148,1330,1032,698,1196,807,367,1271,?
571,815,926,994,879,749,724,318,1100,?
1159,1013,1762,819,731,810,907,716,945,?
1320,722,1521,1048,897,1050,1345,479,1287,?
943,1089,1501,1753,895,1238,1225,1223,770,?
1147,890,864,1282,842,1119,1226,1580,502,?
1020,985,1675,1045,704,1363,1241,1819,573,?
985,845,857,971,641,670,667,1516,668,?
632,1006,896,586,586,582,1195,720,815,?
871,934,1343,611,481,983,1285,1304,286,?
1120,1254,1252,771,937,958,1535,1360,367,?
772,911,1202,947,618,1050,703,1500,399,?
1276,678,796,1476,497,1064,912,1666,374,?
1347,836,236,1133,612,942,991,1149,751,?
975,1004,761,1104,766,679,1249,1581,919,?
1050,1173,814,1174,843,811,1004,936,1045,?
569,673,818,765,617,716,652,746,999,?
888,1112,946,1448,1231,967,1146,825,1102,?
1052,1027,560,1334,539,1329,711,293,1421,?
1050,876,709,1786,1153,1103,731,548,1315,?
942,1305,1058,1782,1544,1195,850,888,1049,?
1055,1033,1307,1403,1527,1360,1379,1475,1579,?
855,1011,1000,1180,2316,1053,956,1613,1369,?
1006,525,1629,716,921,728,1081,1765,1238,?
1097,1333,591,825,1981,1232,1111,1743,1116,?
889,624,1093,621,711,661,874,1137,535,?
948,808,1215,768,1651,1437,1018,780,454,?
